"Agency","Date","Agenda Section","Item Heading","Item Content","Relevance Score"
"City of San Jose","MARCH 10, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.2 Conditional Use Permit for Operation of a Daycare on the West Side of Hamilton Avenue near Hamilton Way","Recommendation: Consideration of adoption of a resolution approving a Conditional Use Permit to allow the operation of a two story, 13,545 square foot day care for up to 196 children on a 0.92 acre site on the west side of Hamilton Avenue approximately 100 feet south of Hamilton Way. Council District 6. CEQA: Mitigated Negative Declaration, Resolution No. 77294, on March 3, 2015. (Planning, Building and Code Enforcement) RENUMBERED TO ITEM 2.13",""
"City of San Jose","MARCH 10, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.3 Actions Related to the Metropolitan Apartments North Phase for the Reallocation of Existing Debt","Recommendation: Adopt a resolution: (a) Approving an increase to the construction/permanent loan commitment of up to $2,164,000, to a total of up to $15,045,000 during construction and up to $15,145,000 during permanent, to reflect both the reallocation of existing debt between phases and up to $100,000 in capitalized construction period interest if needed, to 2112 Monterey Road Apartments, L.P., a legal entity related to Charities Housing Development Corporation, for the development of the North Phase of the Metropolitan Apartments (Development) located at 2112 Monterey Road; (b) Authorizing the Director of Housing to negotiate and execute all necessary loan- and subdivision-related documents for the Development, including all documents necessary to reallocate the existing debt between the new North and South Phase parcels and to effectuate the North Phase transaction and the transfer of the South Phase parcel to 2112 Monterey Road South, L.P. as described in the staff report including any loan and subdivision-related documents and any subordinations, amendments, reconveyances, and consents; and (c) Authorizing a Loan to Value amount in excess of 100%. CEQA: Mitigated Negative Declaration, File Nos. GP08-07-04 and PDC09-015. Council District 7. (Housing)",""
"City of San Jose","MARCH 10, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.4 Amendment to the Agreement with Turner Construction for the United States Patent and Trademark Office Project","Supplemental Memo from Mayor Liccardo Recommendation: (a) Approve and provide direction on an alternative for addressing the request to increase by $919,482 the Citys contribution for improvements being made to the City Hall Tower and Wing to accommodate City employees being displaced by the tenant improvements being made to accommodate the United States Patent and Trademark Office. (b) Adopt a resolution authorizing the Director of Public Works to negotiate and execute a First Amendment to the contract between the City and Turner Construction for the design and construction of the United States Patent and Trademark Office Project as necessary to implement the entire project not to exceed the following amounts: (1) $3,045,628 for construction needed to accommodate the United States Patent and Trademark Office; and (2) The amount set forth in the direction provided by the City Council in Recommendation A for construction needed to accommodate relocated City employees. (Item continued on the next page) Recommendation: (c) Approve an increase in the City-controlled project contingency, which is currently $1,267,926 by 10% of the amount set forth in the direction provided by the City Council in Recommendation A for construction needed to accommodate relocated City employees. CEQA: Exempt, File No. PP14-031. (Public Works) (Continued from 3/3/15 Item 4.1)",""
"City of San Jose","MARCH 10, 2015 ","8. PUBLIC SAFETY SERVICES ","8.1 Cardroom Compliance with Title 16 of the San Jos Municipal Code Report","Recommendation: As recommended by the Public Safety, Finance, and Strategic Support Committee on February 19, 2015, accept the report on cardroom compliance with Title 16 of the San Jose Municipal Code (Gaming Control Regulatory Program). CEQA: Not a Project, File No. PP10-069(a), Staff Reports. (Police) [Public Safety, Finance, and Strategic Support Committee referral 2/19/15 Item D(2)]",""
"City of San Jose","MARCH 17, 2015 ","1. CEREMONIAL ITEMS ","1.1 Presentation of a commendation to Pamela Anderson-Brul for being recognized as the first woman in Santa Clara County to be elevated to the College of Fellows in the American Institute of Architects. (Herrera)","",""
"City of San Jose","MARCH 17, 2015 ","1. CEREMONIAL ITEMS ","1.2 Presentation of a commendation to the San Jos Symphonic Choir for their 90 years of operation in the City of San Jos. (Mayor)","(Rules Committee referral 3/11/15)",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.1 Approval of Minutes.","Recommendation: Approval of minutes. (a) Regular Minutes of December 2, 2014. (b) Regular Minutes of December 9, 2014. (c) Regular Minutes of December 16, 2014. (d) Regular Minutes of December 19, 2014. (e) Special Minutes of December 30, 2014.",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.2 Final Adoption of Ordinances.","",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.3 Approval of Council Committee Reports.","Recommendation: Approval of Council Committee Reports. (a) Public Safety, Finance, and Strategic Support Committee Report of February 19, 2015. (Oliverio) (b) Community and Economic Development Committee Report of February 23, 2015. (Khamis) (c) Rules and Open Government Committee Report of February 25, 2015. (Mayor)",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.4 Mayor and Council Excused Absence Requests.","",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.5 City Council Travel Reports.","",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.6 Report from the Council Liaison to the Retirement Boards.","",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.7 Great American Litter Pick-Up.","Recommendation: As recommended by the Rules and Open Government Committee on March 4, 2015: (a) Approve the Great American Litter Pick-up as a City Council sponsored Special Event and approve the expenditure of funds; and (b) Approve and accept donations from various individuals, businesses, or community groups to support the event. CEQA: File No. PP13-056, Public Project exemption for activities associated with Citywide Litter Clean-up Activities. (City Clerk) [Rules Committee referral 3/4/15 Item G(1)(a)]",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.8 Actions Related to the Agreement with Mel Chin Studios for Public Art Management Services.","Recommendation: (a) Adopt the following Appropriation Ordinance and Funding Sources Resolution amendments in the General Fund: (1) Increase the appropriation to the Office of Economic Development for Cultural Affairs Special Projects in the amount of $10,000; and (2) Increase the estimate for Other Revenue by $10,000. (b) Adopt a resolution authorizing the City Manager or his designee to execute a Continuation and Second Amendment to the Agreement for Public Art Management Services between the City of San Jose and Mel Chin Studios to extend the term to December 31, 2016, to increase the rate of compensation and scope of work, and increase the total maximum compensation to be paid to City to $96,500. CEQA: Not a Project, File No. PP10-066(a), Agreements and Contracts. (Economic Development/City Manager)",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.9 Amendment to the Agreements with CH2M Hill and GHD for Engineering Services for the Wastewater Facility Capital Improvement Program.","Supplemental Recommendation: (a) Approve the Third Amendment to the Master Agreement with CH2M HILL, for engineering services for the San Jose-Santa Clara Regional Wastewater Facility, extending the term from June 30, 2015 to December 31, 2017, at no additional cost to the City, for a total budgeted amount of $4,000,000. (Item continued on the next page) Recommendation: (b) Approve the Second Amendment to the Master Agreement with GHD, for engineering services for the San Jose-Santa Clara Regional Wastewater Facility, extending the term from June 30, 2015 to December 31, 2016, at no additional cost to the City, for a total budgeted amount of $1,500,000. CEQA: Plant Master Plan EIR, Resolution No. 76858, adopted 11/19/2013. (Environmental Services)",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.10 Actions Related to the Intention to Annex Territory Into Zone C of Maintenance District 15","Recommendation: (a) Approve an agreement with Edenbridge Capital Partners, LP to perform and fund a maintenance district annexation for the maintenance of landscape and open space improvements for an area within the Silver Creek Valley area. (b) Adopt a resolution of intention to annex territory into existing Zone C of Maintenance District 15 (Silver Creek Valley), and directing the Director of Public Works to create and file an engineers report. (c) Adopt the following 2014-2015 Appropriation Ordinance amendments and Funding Sources Resolution amendments in the Maintenance District No. 15 Fund: (1) Increase the estimate for Earned Revenue by $15,000; and (2) Establish an appropriation to the Department of Public Works for the Maintenance District No. 15 Annexation Project in the amount of $15,000. CEQA: Mitigated Negative Declaration, File No. PDC09-007. Council District 8. (Public Works/City Manager)",""
"City of San Jose","MARCH 17, 2015 ","2. CONSENT CALENDAR ","2.11 Neighborhoods Commission Appointment","Recommendation: Appoint Joe Horwedel to the vacant District 1 position on the Neighborhoods Commission to an unexpired term ending June 30, 2018. CEQA: Not a Project, File No. PP10-069(c), City Administrative Activities. (City Clerk) (Rules Committee referral 3/11/15)",""
"City of San Jose","MARCH 17, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.1 Report of the Interim City Manager, Norberto Dueas (Verbal Report).","",""
"City of San Jose","MARCH 17, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.2 Labor Negotiations Update.","Recommendation: Accept Labor Negotiations Update. TO BE HEARD AT 9:00 A.M.",""
"City of San Jose","MARCH 17, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.3 Semi-Annual Recommendation Follow-Up Report on All Outstanding Audit Recommendations","Recommendation: Accept the Semi-Annual Recommendation Follow-Up Report on all Outstanding Audit Recommendations for the Six Months Ended December 31, 2014. CEQA: Not a Project, File No. PP10-069(a), Staff Reports, Assessments and Annual Reports. (City Auditor)",""
"City of San Jose","MARCH 17, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.4 Waiver of Revolving Door Restrictions","Recommendation: As recommended by the Rules and Open Government Committee on March 11, 2015, consider the request by Leslye Corsiglia, the former Director of Housing for a Waiver of the Revolving Door Restrictions for consultant work with the City of San Jose. CEQA: Not a Project, File No. PP10-069(c), City Administrative Activities. (City Attorney) [Rules Committee referral 3/11/15 Item G(2)]",""
"City of San Jose","MARCH 17, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.1 Rezoning the Real Property Located at the Southwest Corner of West San Carlos Street and Sunol Street","Recommendation: Consideration of an ordinance rezoning the real property located at the southwest corner of West San Carlos Street and Sunol Street (860 West San Carlos Street) from the A(PD) Planned Development Zoning District to the A(PD) Planned Development Zoning District to allow for specific changes to previously approved Development Standards, most notably: eliminating the minimum building height, lowering the minimum amount of commercial square footage from 24,000 to 14,000, and requiring standard conformance with the Citys parkland dedication requirements, for the subject 8.0 gross acre site (Santa Clara County Transit District, Owner). CEQA: Ohlone Mixed Use EIR Resolution No. 09064, File No. PDC08-061. Planning Commission recommends approval (5-0-1). (Planning, Building and Code Enforcement) PDC13-004 District 6 (Deferred from 2/24/15 Item 11.5 and 3/10/15 Item 4.1)",""
"City of San Jose","MARCH 17, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.2 Friends of Levitt Pavilion Exploratory Committee. - DEFERRED","Recommendation: As recommended by the Community and Economic Development Committee on February 23, 2015: (a) Receive a verbal report on the Friends of Levitt San Jose Exploratory Committee regarding the feasibility of a performance venue in Saint James Park; and (Item continued on the next page) Recommendation: (b) Accept the Levitt Pavilions Exploratory Committee: Building Community Through Music Report and endorse the community moving forward with its business planning, fundraising and entity formation. (Economic Development/Parks, Recreation and Neighborhood Services) [Community and Economic Development Committee 2/23/15 Item D(2)] DEFERRED TO 3/24/15 PER ADMINISTRATION",""
"City of San Jose","MARCH 17, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.3 Acceptance of the Annual Progress Report on the Implementation of the General Plan Housing Element Update","Recommendation: Accept the Calendar Year 2014 Annual Progress Report on the Implementation of the San Jose 2014-22 Housing Element, which includes as an attachment to the staff memorandum, the FY 2013-14 Housing Successor to Redevelopment Agency Annual Report, per reporting requirements of Senate Bill 341 Redevelopment. CEQA: Not a Project, File No. PP10-069(a), Annual Report. (Housing/Planning, Building and Code Enforcement)",""
"City of San Jose","MARCH 24, 2015 ","1. CEREMONIAL ITEMS ","1.1 Presentation of a commendation to Downtown College Prep Alum Rock High School students who participated in the Samsung Solve for Tomorrow education contest. (Herrera)","",""
"City of San Jose","MARCH 24, 2015 ","1. CEREMONIAL ITEMS ","1.2 Presentation of a proclamation recognizing March 2015 as Womens Veterans Month in the City of San Jos. (Herrera)","",""
"City of San Jose","MARCH 24, 2015 ","1. CEREMONIAL ITEMS ","1.3 Presentation of a commendation to the Macias Family for their support of the Veterans Parade in San Jos each year and to our service members. (Herrera)","TO BE HEARD IN THE EVENING",""
"City of San Jose","MARCH 24, 2015 ","1. CEREMONIAL ITEMS ","1.4 Presentation of a commendation to Robert Lopez for lifelong commitment to public safety and outstanding leadership in coordinating the annual Freedom Train. (Rocha)","TO BE HEARD IN THE EVENING",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.1 Approval of Minutes.","Recommendation: Approval of minutes. (a) Regular Minutes of January 6, 2015. (b) Regular Minutes of January 13, 2015. (c) Study Session Minutes of January 20, 2015 on the General Fund Structural Budget Deficit History and Service Restoration Priorities and Strategies. (d) Regular Minutes of January 27, 2015.",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.2 Final Adoption of Ordinances.","",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.3 Approval of Council Committee Reports.","Recommendation: Approval of Council Committee Reports. (a) Transportation and Environment Committee Report of March 2, 2015. (Kalra) (b) Rules and Open Government Committee Report of March 4, 2015. (Mayor)",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.4 Mayor and Council Excused Absence Requests.","",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.5 City Council Travel Reports.","",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.6 Report from the Council Liaison to the Retirement Boards.","",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.7 Naming of the New Library Located at 4001 Evergreen Village Square.","Recommendation: As recommended by the Library and Early Education Commission, name the new library at 4001 Evergreen Village Square, as John J. Montgomery Village Square Library. CEQA: Not a Project, File No. PP10-069. (City Clerk) (Deferred from 12/16/14 Item 2.16 and 1/13/15 Item 5.1) RECOMMEND DEFERRAL TO APRIL 2015 PER CITY CLERK",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.8 National Night Out","Recommendation: As recommended by the Rules and Open Government Committee on March 11, 2015: (a) Approve the National Night Out scheduled for August 4, 2015 as a City Council sponsored Special Event and approve the expenditure of funds; and (b) Approve and accept donations from various individuals, businesses or community groups to support the event. CEQA: Not a Project. (City Clerk) [Rules Committee referral 3/11/15 Item G(1)(a)]",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.9 Actions Related to Mayor Liccardos Travel to Washington, D.C","Recommendation: (a) Approve travel by Mayor Liccardo to Washington, D.C. on March 17 19, 2015 to represent the City at the Silicon Valley Leadership Group Spring Silicon Valley Advocacy Trip. Source of Funds: Mayor and Council Travel Fund. (b) Request for an excused absence for Mayor Liccardo from the Closed Session and the Regular Meeting of the City Council on March 17, 2015 and the Regular Meeting of the Rules and Open Government Committee on March 18, 2015 due to Authorized City Business: Silicon Valley Leadership Group Advocacy Trip. CEQA: Not a Project. (Mayor)",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.10 Amendment to the Agreement with Timothy Knea and Tena Caprista Knea, and William Caprista to Defer Assessment Payments for Improvement District No. 99-218SJ (Hellyer-Piercy)","Recommendation: Approve the First Amendment to the Agreement with Timothy Knea and Tena Caprista Knea, and William Caprista, Trustee for the hardship deferral of assessment payments in the amount of $429,189 for Improvement District 99-218SJ in order to transfer the lien for the assessments from the parcel currently subject to the assessment lien (APN 678-93-008) located near the intersection of Piercy Road and Hellyer Avenue to a parcel resulting from a reconfiguration of the property. CEQA: Exempt, File No. 15305(a). Council District 2. (Public Works)",""
"City of San Jose","MARCH 24, 2015 ","2. CONSENT CALENDAR ","2.11 District 9 SAP Grants for District 9 Schools","Recommendation: As recommended by the Rules and Open Government Committee on March 11, 2015, approve grants for the following schools for their general fund to support student programs and activities: (a) Ida Price Middle School $1000; and (b) Branham High School $500. CEQA: Not a Project. (Rocha) [Rules Committee referral 3/11/15 Item G(3)]",""
"City of San Jose","MARCH 24, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.1 Report of the Interim City Manager, Norberto Dueas (Verbal Report).","",""
"City of San Jose","MARCH 24, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.2 Labor Negotiations Update.","Recommendation: Accept Labor Negotiations Update. TO BE HEARD AT 9:00 A.M.",""
"City of San Jose","MARCH 24, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.3 Approval of the FY 2015-2016 Mayors March Budget Message.","Recommendation: Approve the FY 2015-2016 Mayors March Budget Message. CEQA: Not a Project, File No. PP10-069(a), Annual Reports. (Mayor)",""
"City of San Jose","MARCH 24, 2015 ","3. STRATEGIC SUPPORT SERVICES ","3.4 Public Works Municipal Code Revisions","Recommendation: As recommended by the Transportation and Environment Committee on March 2, 2015, accept the staff report and provide additional input on proposed streamlining and clarification updates to the provisions of the San Jose Municipal Code regarding the procurement and administration of public works construction contracts. CEQA: Not a Project, File No. PP10-069(a), Staff Reports. (Public Works) [Transportation and Environment Committee referral 3/2/15 Item D(6)]",""
"City of San Jose","MARCH 24, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.1 Amendment to Title 20 Zoning Code Ordinance for Wireless Towers and Base Stations","Recommendation: Consideration of an ordinance amending Title 20 of the San Jose Municipal Code (Zoning Ordinance or Zoning Code) to add new Section 20.80.1915 of Part 20 of Chapter 20.80 Specific Use Regulations, and to add new sections to, and amend existing sections of Part 13 Zoning Code Verification Certificate of Chapter 20.100 Administration and Permits, all to allow and regulate modifications of existing wireless towers and base stations pursuant to P.L. 112-96, Section 6409, and Federal Communications Commission Report and Order FCC- 14-153 (Wireless Infrastructure Order) and to make other technical, non-substantive, or formatting changes within those sections of Title 20. CEQA: Exemption pursuant to CEQA Guidelines, Section 15268. Ministerial Projects. File No. PP15-014. (Planning, Building and Code Enforcement) Title 20 - Citywide",""
"City of San Jose","MARCH 24, 2015 ","4. COMMUNITY & ECONOMIC DEVELOPMENT ","4.2 Friends of Levitt Pavilion Exploratory Committee","Recommendation: As recommended by the Community and Economic Development Committee on February 23, 2015: (a) Receive a verbal report on the Friends of Levitt San Jose Exploratory Committee regarding the feasibility of a performance venue in Saint James Park; and (b) Accept the Levitt Pavilions Exploratory Committee: Building Community Through Music Report and endorse the community moving forward with its business planning, fundraising and entity formation. (Economic Development/Parks, Recreation and Neighborhood Services) [Community and Economic Development Committee 2/23/15 Item D(2)] (Deferred from 3/17/15 Item 4.2)",""
"City of San Jose","MARCH 24, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.1 Actions Related to the Airport Disadvantaged Business Enterprise Program","Recommendation: Adopt a resolution: (a) Approving a proposed overall Disadvantaged Business Enterprise (DBE) participation race-neutral goal of 10.28% for the Norman Y. Mineta San Jose International Airport for Federal Fiscal Years 2014-2016; (b) Authorizing the City Manager to submit the three-year DBE participation plan to the Federal Aviation Administration (FAA); and (Item continued on the next page) Recommendation: (c) Authorizing the City Manager to make revisions as requested by the FAA. CEQA: Not a Project, File No. PP10-066(e), Services that involve no physical changes to the environment. (Public Works/Airport) (Deferred from 2/3/15 - Item 6.1 and 3/3/15 - Item 6.1)",""
"City of San Jose","MARCH 24, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.2 Audit of Street Pavement Maintenance","Recommendation: As recommended by the Transportation and Environment Committee on March 2, 2015, accept the Audit of Street Pavement Maintenance. CEQA: Not a Project, File No. PP10-069(a), Staff Reports. (City Auditor) [Transportation and Environment Committee referral 3/2/15 Item D(2)] TO BE HEARD JOINTLY WITH ITEM 6.3",""
"City of San Jose","MARCH 24, 2015 ","6. TRANSPORTATION & AVIATION SERVICES ","6.3 Pavement Maintenance Status Report and Funding Strategy Update","Recommendation: As recommended by the Transportation and Environment Committee on March 2, 2015, accept the status report on San Jose pavement maintenance program and an update on current funding strategies to improve Citywide pavement conditions. CEQA: Not a Project, File No. PP10-069(a), Staff Reports. (Transportation) [Transportation and Environment Committee referral 3/2/15 Item D(3)] TO BE HEARD JOINTLY WITH ITEM 6.2",""
"City of San Jose","MARCH 24, 2015 ","7. ENVIRONMENTAL & UTILITY SERVICES ","7.1 Report on the San Jos-Santa Clara Regional Wastewater Facility Ten-Year Funding Strategy","Recommendation: Accept the staff report on the San Jose-Santa Clara Regional Wastewater Facility Ten-Year Funding Strategy. CEQA: Not a Project, File PP10-069(a), Staff Reports. (Environmental Services)",""
"City of San Jose","MARCH 24, 2015 ","7. ENVIRONMENTAL & UTILITY SERVICES ","7.2 Project Delivery and Procurement Strategy for the San Jos-Santa Clara Regional Wastewater Facility","Recommendation: As referred by the Transportation and Environment Committee on March 2, 2015: (a) Accept the staff report on the proposed project delivery and procurement strategy for the San Jose-Santa Clara Regional Wastewater Facilitys Capital Improvement Program; and (Item continued on the next page) Recommendation: (b) Adopt a resolution that approves the use of low bid design-build and progressive design-build as potential delivery methods for project in the San Jose-Santa Clara Regional Wastewater Facilitys Capital Improvement Program and that delegates authority to the Director of Environmental Services and Public Works, or their designees, to make a determination on the appropriate delivery method for each project. CEQA: Not a Project, File No. PP10-069(a), Staff Reports. (Environmental Services/Public Works) [Transportation and Environment Committee referral 3/2/15 Item D(4)]",""
"City of San Jose","MARCH 24, 2015 ","11. PUBLIC HEARINGS ON CONSENT CALENDAR ","11.1 Public Hearings on Consent Calendar.","Recommendation: (a) Conditional Use Permit for the Real Property Located at 2270 Camden Avenue. Recommendation: Consideration of a Conditional Use Permit to allow the addition of an automated carwash at an existing smog test facility on a 0.40 gross acre site in the CN Neighborhood Commercial Zoning District, located at 2270 Camden Avenue (Akbar and Mary Nazemian Et Al, Owner). CEQA: Mitigated Negative Declaration, to be adopted. (Planning, Building and Code Enforcement) CP10-010 District 9 DROP TO BE RENOTICED (b) Rezoning of the Real Property Located at the Southwest Corner of Saratoga Avenue and Williams Road. Recommendation: Consideration of an ordinance rezoning the real property located at the southwest corner of Saratoga Avenue and Williams Road (1005 Saratoga Avenue)from the CP-Commercial Pedestrian Zoning district to the CP(PD) Planned Development Zoning District to allow for a gas station and convenience store use; and A Planned Development Permit to allow the demolition of an existing gas station, including the removal and replacement of existing underground gas tanks, and the construction of a new gas station with a 3,200 square foot convenience store with the off-sale of alcohol; and a determination of a Public Convenience or Necessity on a 0.64 gross acre site(Robinson Oil Corporation, Owner). CEQA: Negative Declaration. (Planning, Building and Code Enforcement) PDC14-009/PD14-039/ABC14-008 - District 1 DROP TO BE RENOTICED",""
"City of San Jose","MARCH 24, 2015 ","11. PUBLIC HEARINGS ","11.2 Rezoning of the Real Property Located on the Westerly Side of Monterey Road, Approximately 969 Feet Northeasterly of Lewis Road.","Recommendation: Consideration of an ordinance rezoning the real property located on the westerly side of Monterey Road, approximately 969 feet northeasterly of Lewis Road from the A(PD) Planned Development Zoning District to the LI Light Industrial Zoning District to allow industrial uses on a 2.93 gross acre site (John and Jan Sun, Owners). CEQA: Exempt pursuant to Section 15270. (Planning, Building and Code Enforcement) C14-063 - District 7 DROP TO BE RENOTICED",""
"City of San Jose","MARCH 24, 2015 ","11. PUBLIC HEARINGS ","11.3 Conditional Use Permit for the Real Property Located at 400 South First Street","Recommendation: Consideration of a Conditional Use Permit to allow after-midnight use and a drinking establishment (for over 250 people), the Spectrum, in the DC Downtown Primary Commercial Zoning District on a 0.15 gross acre site located at 400 South First Street (Berg, Richard P. and Made S. Trustee & Et. Al., Owner). CEQA: Exempt. Planning Commission recommends approval (6-0-0). (Planning, Building and Code Enforcement) Resolution CP15-004 District 3",""
"City of San Jose","MARCH 24, 2015 ","11. PUBLIC HEARINGS ","11.4 Rezoning of the Real Property Located on the North Side of Branham Lane, Approximately 250 Feet East of Glenmont Drive","Recommendation: (a) Adopt a resolution adopting the Mitigated Negative Declaration for the Branham Lane Residential Planned Development Zoning Project and the related Mitigation Monitoring and Reporting Program; (b) Consider an ordinance rezoning the real property located on the north side of Branham Lane, approximately 250 feet east of Glenmont Drive (955 Branham Lane) from A Agricultural to A(PD) Planned Development Zoning District to allow up to 24 multi-family units on an approximately 1.19 gross acre site (Ulla 1997 Fmly Ltd Ptsp I, Ltd Ptsp, Owner). CEQA: Mitigated Negative Declaration (MND) to be adopted. Planning Commission recommends approval (5-1-0). (Planning, Building and Code Enforcement) PDC14-042 District 9",""
"City of San Jose","MARCH 24, 2015 ","11. PUBLIC HEARINGS ","11.5 Rezoning of the Real Property Located on the West Side of Almaden Road, Approximately 600 Feet South of Willow Glen Way.","Recommendation: (a) Adopt a resolution adopting the Mitigated Negative Declaration for the 1821 Almaden Road Residential Project and the related Mitigation Monitoring and Reporting Program; (Item continued on the next page) Recommendation: (b) Consider an ordinance rezoning the real property located on the west side of Almaden Road, approximately 600 feet south of Willow Glen Way (1807 Almaden Road) from the R-1-5 Single Family Residence Zoning District to the RM(PD) Planned Development Zoning District to allow development of up to 96 residential units in a 5-story building on an approximately 1.8 gross acre site (Dias, Ludd J, Owner). CEQA: Mitigated Negative Declaration. (Planning, Building and Code Enforcement) PDC13-034 District 6 RECOMMEND DEFERRAL TO 5/12/15 PER ADMINISTRATION",""
"Santa Clara County","February 24, 2015","Ceremonial Presentations","5. Announce Adjournments in Memoriam. (See Item No. 21)"," a. Adjourn in honor and memory of Richard Ruiz. (Cortese) (ID# 75247)",""
"Santa Clara County","February 24, 2015","Ceremonial Presentations","6. Commendations and Proclamations. (See Item No. 52)"," a. Present Commendation to Ron Lind for his service and commitment on behalf of working families and to the larger community. (Chavez)",""
"Santa Clara County","February 24, 2015","Board Referrals","7. Direct Administration to prepare for Board consideration an Immigrant Family Relations Implementation Plan to commence in April 2015 for a 20-month period that will include the following components: (Chavez/Cortese) (ID# 75093)"," a. One-time allocation of $1.8 million towards outreach, education and legal support goals of the Immigrant Family Relations Implementation Plan. b. Establish a partnership with the City of San Jose and the Silicon Valley Community Foundation for shared funding. c. Establish an agreement with the Silicon Valley Community Foundation to manage the contracts associated with the Immigrant Family Relations Implementation Plan.",""
"Santa Clara County","February 24, 2015","Board Referrals","8. Approve creation of a short-term New Lens on Homelessness working group of specified community leaders charged with evaluating the County’s alternatives to contribute to the region’s emergency shelter, transitional housing, and permanent housing solutions for homeless families and individuals to focus on identifying the area’s most critical needs and feasible solutions that can be launched in the short term, with particular attention to homeless military veterans, children, and foster youth. (Cortese) (ID# 75239)","",""
"Santa Clara County","February 24, 2015","Board of Supervisors and Board Appointees","9. Receive report from County Executive.","",""
"Santa Clara County","February 24, 2015","Board of Supervisors and Board Appointees","10. Receive verbal report regarding the sale of the Daughters of Charity Health System. (Office of the County Executive)","",""
"Santa Clara County","February 24, 2015","Board of Supervisors and Board Appointees","11. Receive report on public health issues.","",""
"Santa Clara County","February 24, 2015","Board of Supervisors and Board Appointees","12. Receive report from County Counsel on legal issues and closed session meeting of February 23, 2015.","",""
